"Station","Line","Index"
"Akshardham","Blue Line","1"
"Barakhambha Road","Blue Line","2"
"Botanical Garden","Blue Line","3"
"Dwarka","Blue Line","4"
"Dwarka Mor","Blue Line","5"
"Dwarka Sector 8","Blue Line","6"
"Dwarka Sector 9","Blue Line","7"
"Dwarka Sector 10","Blue Line","8"
"Dwarka Sector 11","Blue Line","9"
"Dwarka Sector 12","Blue Line","10"
"Dwarka Sector 13","Blue Line","11"
"Dwarka Sector 14","Blue Line","12"
"Dwarka Sector 21","Blue Line","13"
"Golf Course","Blue Line","14"
"Indraprastha","Blue Line","15"
"Janakpuri East","Blue Line","16"
"Janakpuri West","Blue Line","17"
"Jhandewalan","Blue Line","18"
"Karol Bagh","Blue Line","19"
"Kirti Nagarâ€ ","Blue Line","20"
"Mandi House","Blue Line","21"
"Mayur Vihar -I","Blue Line","22"
"Mayur Vihar Extension","Blue Line","23"
"Moti Nagar","Blue Line","24"
"Nawada","Blue Line","25"
"New Ashok Nagar","Blue Line","26"
"Noida City Centre","Blue Line","27"
"Noida Electronic City","Blue Line","28"
"Noida Sector 15","Blue Line","29"
"Noida Sector 16","Blue Line","30"
"Noida Sector 18","Blue Line","31"
"Noida Sector 34","Blue Line","32"
"Noida Sector 52","Blue Line","33"
"Noida Sector 59","Blue Line","34"
"Noida Sector 61","Blue Line","35"
"Noida Sector 62","Blue Line","36"
"Patel Nagar","Blue Line","37"
"Rajendra Place","Blue Line","38"
"Rajouri Garden","Blue Line","39"
"Ramakrishna Ashram Marg","Blue Line","40"
"Ramesh Nagar","Blue Line","41"
"Shadipur","Blue Line","42"
"Subhash Nagar","Blue Line","43"
"Supreme Court","Blue Line","44"
"Tagore Garden","Blue Line","45"
"Tilak Nagar","Blue Line","46"
"Uttam Nagar East","Blue Line","47"
"Uttam Nagar West","Blue Line","48"
"Yamuna Bank","Blue Line","49"
"Anand Vihar ISBT","Blue Line branch","50"
"Karkarduma","Blue Line branch","51"
"Kaushambi","Blue Line branch","52"
"Laxmi Nagar","Blue Line branch","53"
"Nirman Vihar","Blue Line branch","54"
"Preet Vihar","Blue Line branch","55"
"Vaishali","Blue Line branch","56"
"Ashok Park Main","Green Line","57"
"Bahadurgarh City","Green Line","58"
"Brigadier Hoshiyar Singh","Green Line","59"
"Ghevra","Green Line","60"
"Madipur","Green Line","61"
"Maharaja Surajmal Stadium","Green Line","62"
"Mundka","Green Line","63"
"Mundka Industrial Area","Green Line","64"
"Nangloi","Green Line","65"
"Nangloi Railway station","Green Line","66"
"Pandit Shree Ram Sharma","Green Line","67"
"Paschim Vihar East","Green Line","68"
"Paschim Vihar West","Green Line","69"
"Peera Garhi","Green Line","70"
"Punjabi Bagh","Green Line","71"
"Rajdhani Park","Green Line","72"
"Shivaji Park","Green Line","73"
"Tikri Border","Green Line","74"
"Tikri Kalan","Green Line","75"
"Udyog Nagar","Green Line","76"
"Satguru Ramsingh Marg","Green Line branch","77"
"Najafgarh","Grey Line","78"
"Nangli","Grey Line","79"
"Chirag Delhi","Magenta Line","80"
"Dabri Mor-Janakpuri South","Magenta Line","81"
"Dashrath Puri","Magenta Line","82"
"Greater Kailash","Magenta Line","83"
"Jamia Millia Islamia","Magenta Line","84"
"Jasola Vihar Shaheen Bagh","Magenta Line","85"
"Kalindi Kunj","Magenta Line","86"
"Munirka","Magenta Line","87"
"Nehru Enclave","Magenta Line","88"
